Price,SuperBuild,BHK,Total_Sq_Ft,Floor
₹ 24 Lac,0,"
2 BHK Apartment
",670 sqft,2 out of 4 floors
₹ 24 Lac,0,"
1 BHK Apartment
",450 sqft,Ground out of 5 floors
₹ 57 Lac,₹ 6884,"
3 BHK Apartment
",828 sqft,1 out of 12 floors
₹ 23 Lac,₹ 2904,"
2 BHK Apartment
",792 sqft,2 out of 4 floors
₹ 34 Lac,0,"
2 BHK Builder Floor
",650 sqft,1 out of 3 floors
₹ 38 Lac,₹ 4368,"
2 BHK Apartment
",870 sqft,2 out of 4 floors
₹ 35 Lac,0,"
1 BHK Apartment
",550 sqft,2 out of 4 floors
₹ 29 Lac,₹ 4335,"
2 BHK Apartment
",669 sqft,4 out of 5 floors
₹ 50 Lac,0,"
3 BHK Apartment
",950 sqft,3 out of 5 floors
₹ 51 Lac,0,"
2 BHK Apartment
",640 sqft,7 out of 12 floors
₹ 49 Lac,₹ 4711,"
2 BHK Apartment
",1040 sqft,6 out of 12 floors
₹ 58 Lac,0,"
3 BHK Apartment
",900 sqft,3 out of 3 floors
₹ 45 Lac,0,"
2 BHK Apartment
",600 sqft,2 out of 4 floors
₹ 68 Lac,0,"
3 BHK Apartment
",1000 sqft,1 out of 5 floors
₹ 40 Lac,0,"
2 BHK Apartment
",850 sqft,3 out of 4 floors
₹ 47 Lac,0,"
2 BHK Apartment
",782 sqft,1 out of 4 floors
₹ 51 Lac,₹ 6929,"
2 BHK Apartment
",736 sqft,4 out of 25 floors
₹ 28 Lac,0,"
3 BHK Apartment
",950 sqft,3 out of 4 floors
₹ 18 Lac,₹ 4206,"
1 BHK Apartment
",428 sqft,Ground out of 5 floors
₹ 52 Lac,0,"
3 BHK Apartment
",1094 sqft,1 out of 4 floors
₹ 85 Lac,₹ 5152,"
3 BHK Builder Floor
",1650 sqft,1 out of 5 floors
₹ 88 Lac,0,"
3 BHK Apartment
",1050 sqft,1 out of 5 floors
₹ 20 Lac,₹ 4057,"
1 BHK Apartment
",493 sqft,3 out of 4 floors
₹ 35 Lac,0,"
2 BHK Apartment
",780 sqft,2 out of 9 floors
₹ 33 Lac,0,"
2 BHK Apartment
",606 sqft,11 out of 14 floors
₹ 36 Lac,0,"
2 BHK Apartment
",563 sqft,2 out of 3 floors
