Price,SuperBuild,BHK,Total_Sq_Ft,Floor
₹ 55 Lac,0,"
3 BHK Apartment
",1400 sqft,2 out of 3 floors
₹ 70 Lac,0,"
3 BHK Apartment
",1000 sqft,2 out of 3 floors
₹ 18 Lac,0,"
2 BHK Apartment
",762 sqft,3 out of 5 floors
₹ 30 Lac,0,"
2 BHK Apartment
",550 sqft,7 out of 14 floors
₹ 40 Lac,0,"
2 BHK Apartment
",750 sqft,1 out of 6 floors
₹ 45 Lac,₹ 5294,"
2 BHK Apartment
",850 sqft,4 out of 5 floors
₹ 90 Lac,0,"
3 BHK Apartment
",1464 sqft,6 out of 20 floors
₹ 85 Lac,₹ 5090,"
3 BHK Apartment
",1670 sqft,3 out of 5 floors
₹ 29 Lac,0,"
2 BHK Apartment
",650 sqft,1 out of 3 floors
₹ 73 Lac,₹ 4740,"
3 BHK Apartment
",1540 sqft,5 out of 11 floors
₹ 30 Lac,0,"
2 BHK Apartment
",648 sqft,2 out of 4 floors
₹ 46 Lac,0,"
3 BHK Apartment
",1100 sqft,3 out of 5 floors
₹ 70 Lac,0,"
2 BHK Apartment
",900 sqft,2 out of 4 floors
₹ 26 Lac,0,"
2 BHK Apartment
",680 sqft,2 out of 2 floors
₹ 59 Lac,₹ 4332,"
3 BHK Apartment
",1362 sqft,3 out of 4 floors
₹ 32.8 Lac,0,"
2 BHK Apartment
",480 sqft,11 out of 14 floors
₹ 35 Lac,0,"
2 BHK Builder Floor
",700 sqft,4 out of 4 floors
₹ 27 Lac,0,"
2 BHK Apartment
",1200 sqft,4 out of 4 floors
₹ 25 Lac,₹ 3067,"
2 BHK Apartment
",815 sqft,2 out of 3 floors
₹ 24 Lac,₹ 3288,"
2 BHK Apartment
",730 sqft,2 out of 3 floors
₹ 22 Lac,₹ 2887,"
2 BHK Apartment
",762 sqft,2 out of 5 floors
₹ 32 Lac,₹ 3734,"
2 BHK Apartment
",857 sqft,3 out of 4 floors
₹ 25 Lac,0,"
1 BHK Apartment
",430 sqft,14 out of 17 floors
₹ 46 Lac,₹ 4039,"
3 BHK Apartment
",1139 sqft,6 out of 6 floors
₹ 85 Lac,₹ 7083,"
2 BHK Apartment
",1200 sqft,5 out of 7 floors
₹ 27 Lac,0,"
2 BHK Apartment
",740 sqft,3 out of 4 floors
₹ 27 Lac,₹ 5625,"
2 BHK Apartment
",480 sqft,12 out of 14 floors
₹ 32 Lac,0,"
1 BHK Apartment
",532 sqft,4 out of 15 floors
₹ 75 Lac,₹ 6818,"
2 BHK Apartment
",1100 sqft,2 out of 2 floors
₹ 70 Lac,0,"
3 BHK Apartment
",1000 sqft,2 out of 2 floors
₹ 21 Lac,0,"
2 BHK Apartment
",900 sqft,4 out of 4 floors
₹ 60 Lac,₹ 2927,"
5 BHK Apartment
",2050 sqft,4 out of 5 floors
₹ 51 Lac,₹ 4359,"
3 BHK Apartment
",1170 sqft,3 out of 3 floors
₹ 67 Lac,₹ 5403,"
2 BHK Apartment
",1240 sqft,5 out of 14 floors
₹ 40 Lac,₹ 5926,"
2 BHK Apartment
",675 sqft,5 out of 6 floors
₹ 50 Lac,0,"
2 BHK Apartment
",1010 sqft,3 out of 5 floors
₹ 17 Lac,0,"
1 BHK Apartment
",440 sqft,1 out of 3 floors
₹ 21.6 Lac,0,"
2 BHK Apartment
",728 sqft,3 out of 4 floors
₹ 20 Lac,0,"
3 BHK Builder Floor
",850 sqft,3 out of 3 floors
₹ 45 Lac,₹ 4451,"
2 BHK Apartment
",1011 sqft,5 out of 17 floors
₹ 25 Lac,₹ 3243,"
2 BHK Apartment
",771 sqft,5 out of 7 floors
₹ 50 Lac,0,"
3 BHK Builder Floor
",1295 sqft,2 out of 5 floors
₹ 55 Lac,0,"
2 BHK Apartment
",778 sqft,4 out of 4 floors
₹ 70 Lac,₹ 6211,"
2 BHK Apartment
",1127 sqft,1 out of 3 floors
₹ 30 Lac,₹ 3816,"
2 BHK Apartment
",786 sqft,4 out of 4 floors
₹ 68.5 Lac,₹ 5245,"
3 BHK Apartment
",1306 sqft,1 out of 12 floors
₹ 90 Lac,0,"
3 BHK Apartment
",2000 sqft,2 out of 3 floors
₹ 28.3 Lac,₹ 3800,"
2 BHK Apartment
",746 sqft,1 out of 3 floors
₹ 80 Lac,0,"
2 BHK Apartment
",690 sqft,4 out of 4 floors
₹ 50 Lac,0,"
2 BHK Apartment
",719 sqft,2 out of 3 floors
₹ 75 Lac,0,"
3 BHK Apartment
",1600 sqft,2 out of 4 floors
₹ 35 Lac,0,"
2 BHK Apartment
",750 sqft,3 out of 3 floors
₹ 63 Lac,0,"
3 BHK Apartment
",1280 sqft,10 out of 12 floors
₹ 46 Lac,0,"
3 BHK Builder Floor
",970 sqft,4 out of 4 floors
₹ 35 Lac,0,"
3 BHK Apartment
",900 sqft,2 out of 5 floors
₹ 79 Lac,0,"
2 BHK Apartment
",880 sqft,4 out of 5 floors
₹ 60 Lac,0,"
3 BHK Apartment
",1150 sqft,3 out of 5 floors
₹ 37 Lac,₹ 4507,"
2 BHK Apartment
",821 sqft,3 out of 4 floors
₹ 48 Lac,₹ 4324,"
3 BHK Apartment
",1110 sqft,2 out of 6 floors
₹ 55 Lac,0,"
3 BHK Apartment
",975 sqft,3 out of 3 floors
₹ 60 Lac,₹ 6000,"
2 BHK Apartment
",1000 sqft,3 out of 4 floors
₹ 45 Lac,0,"
2 BHK Apartment
",700 sqft,3 out of 5 floors
₹ 34 Lac,₹ 3400,"
2 BHK Apartment
",1000 sqft,4 out of 4 floors
₹ 21 Lac,0,"
2 BHK Apartment
",840 sqft,3 out of 3 floors
₹ 30 Lac,₹ 4000,"
2 BHK Apartment
",750 sqft,3 out of 5 floors
₹ 34 Lac,₹ 3778,"
2 BHK Apartment
",900 sqft,2 out of 5 floors
₹ 55 Lac,0,"
2 BHK Apartment
",736 sqft,2 out of 3 floors
₹ 52.4 Lac,₹ 5634,"
2 BHK Apartment
",930 sqft,Ground out of 1 floor
₹ 24 Lac,₹ 2658,"
2 BHK Apartment
",903 sqft,2 out of 3 floors
₹ 25 Lac,₹ 2941,"
2 BHK Apartment
",850 sqft,Resale
₹ 32 Lac,₹ 4210,"
2 BHK Builder Floor
",760 sqft,3 out of 4 floors
₹ 23 Lac,0,"
2 BHK Apartment
",765 sqft,4 out of 4 floors
₹ 32.8 Lac,0,"
2 BHK Apartment
",570 sqft,2 out of 5 floors
₹ 26 Lac,0,"
2 BHK Apartment
",700 sqft,2 out of 3 floors
₹ 55 Lac,0,"
2 BHK Apartment
",800 sqft,1 out of 5 floors
₹ 30 Lac,0,"
2 BHK Apartment
",750 sqft,2 out of 3 floors
₹ 32 Lac,0,"
1 BHK Apartment
",425 sqft,4 out of 5 floors
₹ 45 Lac,0,"
2 BHK Apartment
",850 sqft,2 out of 3 floors
₹ 23 Lac,₹ 6166,"
1 BHK Apartment
",373 sqft,Ground out of 6 floors
₹ 47.5 Lac,0,"
2 BHK Apartment
",800 sqft,4 out of 5 floors
₹ 76.1 Lac,0,"
3 BHK Apartment
",1231 sqft,4 out of 5 floors
₹ 26 Lac,₹ 3299,"
2 BHK Apartment
",788 sqft,2 out of 4 floors
₹ 63 Lac,0,"
3 BHK Apartment
",983 sqft,2 out of 4 floors
₹ 33 Lac,0,"
2 BHK Apartment
",630 sqft,3 out of 4 floors
₹ 24 Lac,₹ 3692,"
2 BHK Apartment
",650 sqft,Ground out of 4 floors
₹ 30 Lac,₹ 4615,"
1 BHK Apartment
",650 sqft,4 out of 5 floors
₹ 31 Lac,₹ 4851,"
2 BHK Apartment
",639 sqft,1 out of 4 floors
₹ 35 Lac,₹ 2800,"
3 BHK Apartment
",1250 sqft,1 out of 3 floors
₹ 42.5 Lac,0,"
2 BHK Apartment
",730 sqft,2 out of 5 floors
₹ 33 Lac,0,"
3 BHK Apartment
",1000 sqft,3 out of 4 floors
₹ 35 Lac,₹ 3084,"
3 BHK Builder Floor
",1135 sqft,3 out of 4 floors
₹ 26 Lac,₹ 3714,"
2 BHK Apartment
",700 sqft,4 out of 4 floors
₹ 22 Lac,₹ 3152,"
2 BHK Apartment
",698 sqft,6 out of 7 floors
₹ 24 Lac,₹ 3175,"
2 BHK Builder Floor
",756 sqft,2 out of 3 floors
₹ 26.5 Lac,₹ 3118,"
2 BHK Builder Floor
",850 sqft,3 out of 5 floors
₹ 30 Lac,0,"
2 BHK Apartment
",715 sqft,Ground out of 5 floors
₹ 24 Lac,0,"
1 BHK Apartment
",532 sqft,1 out of 17 floors
₹ 25 Lac,₹ 3333,"
2 BHK Apartment
",750 sqft,Ground out of 3 floors
₹ 27 Lac,₹ 2789,"
2 BHK Apartment
",968 sqft,3 out of 4 floors
₹ 30 Lac,0,"
3 BHK Apartment
",700 sqft,3 out of 4 floors
₹ 21.2 Lac,₹ 3000,"
2 BHK Apartment
",705 sqft,3 out of 3 floors
₹ 32 Lac,0,"
2 BHK Apartment
",690 sqft,1 out of 4 floors
₹ 70 Lac,₹ 6903,"
3 BHK Builder Floor
",1014 sqft,4 out of 5 floors
₹ 35 Lac,₹ 2666,"
3 BHK Apartment
",1313 sqft,4 out of 4 floors
₹ 48 Lac,0,"
3 BHK Apartment
",1270 sqft,1 out of 4 floors
₹ 31 Lac,₹ 3196,"
3 BHK Apartment
",970 sqft,14 out of 14 floors
₹ 25 Lac,₹ 3511,"
2 BHK Apartment
",712 sqft,10 out of 14 floors
₹ 40 Lac,₹ 5168,"
2 BHK Apartment
",774 sqft,1 out of 4 floors
₹ 30 Lac,₹ 3529,"
2 BHK Apartment
",850 sqft,4 out of 4 floors
₹ 34 Lac,0,"
2 BHK Apartment
",912 sqft,3 out of 3 floors
₹ 70 Lac,0,"
3 BHK Apartment
",1768 sqft,1 out of 3 floors
₹ 90 Lac,0,"
3 BHK Apartment
",1500 sqft,1 out of 4 floors
₹ 36 Lac,0,"
3 BHK Apartment
",951 sqft,1 out of 7 floors
₹ 69 Lac,₹ 4759,"
3 BHK Apartment
",1450 sqft,4 out of 5 floors
₹ 37 Lac,0,"
2 BHK Apartment
",980 sqft,Ground out of 4 floors
₹ 30 Lac,₹ 3529,"
2 BHK Apartment
",850 sqft,11 out of 14 floors
₹ 45 Lac,₹ 4091,"
3 BHK Apartment
",1100 sqft,9 out of 11 floors
₹ 42.8 Lac,0,"
2 BHK Apartment
",870 sqft,9 out of 12 floors
₹ 86.4 Lac,₹ 5581,"
3 BHK Apartment
",1548 sqft,4 out of 10 floors
₹ 80 Lac,₹ 4926,"
3 BHK Apartment
",1624 sqft,7 out of 14 floors
₹ 60 Lac,₹ 4000,"
3 BHK Builder Floor
",1500 sqft,3 out of 6 floors
₹ 70 Lac,₹ 5426,"
3 BHK Apartment
",1290 sqft,1 out of 4 floors
₹ 28 Lac,₹ 3684,"
2 BHK Apartment
",760 sqft,1 out of 4 floors
₹ 48 Lac,₹ 4908,"
2 BHK Apartment
",978 sqft,1 out of 2 floors
₹ 70.3 Lac,₹ 4822,"
4 BHK Apartment
",1458 sqft,1 out of 3 floors
₹ 22 Lac,0,"
2 BHK Apartment
",790 sqft,3 out of 3 floors
₹ 32 Lac,0,"
2 BHK Apartment
",510 sqft,1 out of 4 floors
₹ 28 Lac,0,"
2 BHK Apartment
",704 sqft,2 out of 3 floors
₹ 32 Lac,0,"
2 BHK Apartment
",950 sqft,2 out of 4 floors
₹ 58 Lac,₹ 6423,"
2 BHK Apartment
",903 sqft,7 out of 10 floors
₹ 40 Lac,0,"
3 BHK Apartment
",1000 sqft,1 out of 8 floors
₹ 21 Lac,0,"
2 BHK Apartment
",550 sqft,4 out of 7 floors
₹ 35 Lac,0,"
2 BHK Apartment
",810 sqft,3 out of 4 floors
₹ 30 Lac,0,"
3 BHK Apartment
",1115 sqft,5 out of 5 floors
₹ 40 Lac,₹ 3540,"
3 BHK Builder Floor
",1130 sqft,1 out of 4 floors
₹ 18.5 Lac,₹ 3814,"
1 BHK Apartment
",485 sqft,2 out of 3 floors
₹ 42 Lac,0,"
2 BHK Apartment
",849 sqft,1 out of 4 floors
₹ 34.5 Lac,₹ 3000,"
3 BHK Apartment
",1150 sqft,1 out of 4 floors
₹ 67 Lac,0,"
1 BHK Apartment
",570 sqft,14 out of 14 floors
₹ 27 Lac,₹ 3719,"
2 BHK Apartment
",726 sqft,1 out of 3 floors
₹ 47.5 Lac,₹ 3593,"
3 BHK Apartment
",1322 sqft,5 out of 15 floors
₹ 75 Lac,₹ 4502,"
3 BHK Apartment
",1666 sqft,4 out of 4 floors
₹ 21 Lac,0,"
2 BHK Apartment
",750 sqft,4 out of 5 floors
₹ 20.9 Lac,₹ 2900,"
2 BHK Apartment
",722 sqft,Unfurnished
₹ 40 Lac,₹ 4831,"
2 BHK Apartment
",828 sqft,4 out of 4 floors
₹ 50 Lac,0,"
3 BHK Apartment
",1216 sqft,1 out of 4 floors
₹ 60 Lac,0,"
3 BHK Apartment
",1200 sqft,2 out of 6 floors
₹ 22 Lac,0,"
2 BHK Apartment
",687 sqft,4 out of 5 floors
₹ 25 Lac,0,"
3 BHK Apartment
",833 sqft,Ground out of 3 floors
₹ 35 Lac,0,"
2 BHK Apartment
",850 sqft,3 out of 4 floors
₹ 38 Lac,0,"
3 BHK Builder Floor
",1380 sqft,3 out of 5 floors
₹ 57 Lac,₹ 5577,"
2 BHK Apartment
",1022 sqft,1 out of 4 floors
₹ 21 Lac,0,"
2 BHK Apartment
",530 sqft,Ground out of 4 floors
₹ 23 Lac,₹ 2556,"
3 BHK Apartment
",900 sqft,2 out of 5 floors
₹ 23 Lac,0,"
2 BHK Apartment
",725 sqft,5 out of 5 floors
₹ 16.5 Lac,0,"
1 BHK Apartment
",400 sqft,4 out of 4 floors
₹ 32 Lac,0,"
3 BHK Builder Floor
",1000 sqft,2 out of 4 floors
₹ 32 Lac,0,"
3 BHK Apartment
",1100 sqft,4 out of 4 floors
₹ 15 Lac,0,"
2 BHK Apartment
",430 sqft,1 out of 2 floors
₹ 30 Lac,₹ 3158,"
2 BHK Apartment
",950 sqft,Ground out of 4 floors
₹ 30 Lac,0,"
2 BHK Apartment
",800 sqft,2 out of 3 floors
₹ 50 Lac,₹ 3571,"
3 BHK Apartment
",1400 sqft,4 out of 6 floors
₹ 31 Lac,₹ 6043,"
Studio Apartment
",513 sqft,20 out of 23 floors
₹ 75 Lac,₹ 6781,"
3 BHK Apartment
",1106 sqft,2 out of 7 floors
₹ 40 Lac,₹ 3157,"
3 BHK Apartment
",1267 sqft,2 out of 4 floors
₹ 52 Lac,₹ 5474,"
2 BHK Apartment
",950 sqft,5 out of 5 floors
₹ 58 Lac,0,"
2 BHK Apartment
",450 sqft,6 out of 26 floors
₹ 46 Lac,0,"
3 BHK Apartment
",1150 sqft,2 out of 4 floors
₹ 87 Lac,0,"
3 BHK Apartment
",722 sqft,Resale
₹ 40 Lac,0,"
3 BHK Apartment
",1206 sqft,3 out of 4 floors
₹ 20 Lac,₹ 4706,"
1 BHK Apartment
",425 sqft,3 out of 4 floors
₹ 68 Lac,0,"
2 BHK Apartment
",900 sqft,3 out of 5 floors
₹ 33 Lac,₹ 3000,"
3 BHK Apartment
",1100 sqft,3 out of 4 floors
₹ 49 Lac,0,"
3 BHK Apartment
",770 sqft,5 out of 5 floors
₹ 23 Lac,0,"
2 BHK Apartment
",700 sqft,2 out of 3 floors
₹ 40 Lac,₹ 3831,"
2 BHK Apartment
",1044 sqft,1 out of 4 floors
₹ 25 Lac,₹ 3968,"
2 BHK Apartment
",630 sqft,2 out of 4 floors
₹ 83 Lac,0,"
3 BHK Apartment
",1250 sqft,6 out of 7 floors
₹ 28 Lac,₹ 4516,"
1 BHK Apartment
",620 sqft,13 out of 14 floors
₹ 35 Lac,₹ 3286,"
2 BHK Apartment
",1065 sqft,4 out of 4 floors
₹ 32 Lac,0,"
2 BHK Apartment
",610 sqft,4 out of 4 floors
₹ 26 Lac,₹ 3714,"
2 BHK Apartment
",700 sqft,Ground out of 3 floors
₹ 16 Lac,₹ 2388,"
2 BHK Apartment
",670 sqft,2 out of 4 floors
₹ 60 Lac,₹ 5217,"
3 BHK Apartment
",1150 sqft,1 out of 3 floors
₹ 32 Lac,0,"
3 BHK Apartment
",1000 sqft,4 out of 4 floors
₹ 40 Lac,₹ 3922,"
2 BHK Apartment
",1020 sqft,3 out of 4 floors
₹ 38 Lac,0,"
1 BHK Apartment
",567 sqft,2 out of 24 floors
₹ 50 Lac,₹ 4950,"
2 BHK Apartment
",1010 sqft,3 out of 5 floors
₹ 44 Lac,0,"
3 BHK Apartment
",900 sqft,4 out of 7 floors
₹ 35 Lac,0,"
2 BHK Apartment
",760 sqft,3 out of 3 floors
₹ 48 Lac,0,"
3 BHK Apartment
",940 sqft,1 out of 4 floors
₹ 55 Lac,0,"
3 BHK Apartment
",1420 sqft,1 out of 3 floors
₹ 80 Lac,0,"
3 BHK Apartment
",1648 sqft,2 out of 5 floors
₹ 50 Lac,₹ 4095,"
3 BHK Apartment
",1221 sqft,4 out of 5 floors
₹ 26 Lac,0,"
2 BHK Apartment
",570 sqft,2 out of 3 floors
₹ 25 Lac,0,"
2 BHK Apartment
",570 sqft,5 out of 14 floors
₹ 28 Lac,0,"
2 BHK Apartment
",640 sqft,2 out of 4 floors
₹ 22 Lac,0,"
2 BHK Apartment
",600 sqft,3 out of 4 floors
₹ 35 Lac,0,"
2 BHK Apartment
",799 sqft,2 out of 4 floors
₹ 26 Lac,0,"
2 BHK Apartment
",705 sqft,4 out of 4 floors
₹ 16 Lac,0,"
2 BHK Apartment
",510 sqft,1 out of 4 floors
₹ 79 Lac,0,"
3 BHK Apartment
",1200 sqft,3 out of 4 floors
₹ 35 Lac,₹ 4227,"
2 BHK Builder Floor
",828 sqft,3 out of 4 floors
₹ 32 Lac,₹ 3764,"
2 BHK Apartment
",850 sqft,4 out of 4 floors
₹ 25.5 Lac,₹ 3400,"
2 BHK Apartment
",750 sqft,3 out of 3 floors
₹ 37 Lac,₹ 3756,"
2 BHK Apartment
",985 sqft,4 out of 5 floors
₹ 27 Lac,0,"
2 BHK Apartment
",700 sqft,4 out of 4 floors
₹ 62.5 Lac,0,"
3 BHK Apartment
",800 sqft,Ground out of 5 floors
₹ 75 Lac,0,"
3 BHK Apartment
",950 sqft,3 out of 16 floors
₹ 50 Lac,0,"
3 BHK Apartment
",920 sqft,4 out of 7 floors
₹ 28 Lac,0,"
2 BHK Apartment
",540 sqft,2 out of 2 floors
₹ 54 Lac,0,"
3 BHK Apartment
",1050 sqft,5 out of 7 floors
₹ 60 Lac,0,"
3 BHK Apartment
",1036 sqft,11 out of 11 floors
₹ 61 Lac,0,"
3 BHK Builder Floor
",980 sqft,1 out of 4 floors
